,asset,day,price,return_1d,algo_return,rolling_beta,expected_return,market_adjusted_return,tomorrows_market_adjusted_return
0,ALGO,0,100.0,,,,,,
1,AENO,0,116.51,,,,,,
2,LSST,0,113.55,,,,,,
3,SRNA,0,134.23,,,,,,
4,ELLT,0,64.12,,,,,,
5,AMRP,0,25.05,,,,,,
6,OTCS,0,14.68,,,,,,
7,HETT,0,59.24,,,,,,
8,HUXZ,0,83.62,,,,,,
9,DUCT,0,19.71,,,,,,
10,SMAH,0,44.08,,,,,,
11,NPCK,0,15.14,,,,,,
12,MSDP,0,34.11,,,,,,
13,EORC,0,31.68,,,,,,
14,CUBO,0,124.31,,,,,,
15,HRET,0,52.61,,,,,,
16,ANSO,0,41.73,,,,,,
17,DIHO,0,12.47,,,,,,
18,RTTH,0,39.83,,,,,,
19,SPLZ,0,104.33,,,,,,
20,NWIG,0,120.19,,,,,,
21,MMBT,0,78.8,,,,,,
22,MDGI,0,144.6,,,,,,
23,AGVF,0,136.28,,,,,,
24,RRES,0,37.9,,,,,,
25,CTGI,0,86.48,,,,,,
26,ALUT,0,17.48,,,,,,
27,ACAC,0,73.25,,,,,,
28,SRTX,0,290.79,,,,,,
29,GARI,0,15.6,,,,,,
30,RCRI,0,54.64,,,,,,
31,ACIX,0,16.33,,,,,,
32,CCNS,0,23.62,,,,,,
33,MTNS,0,22.23,,,,,,
34,IHOZ,0,136.17,,,,,,
35,NAYO,0,33.34,,,,,,
36,FWWG,0,36.97,,,,,,
37,EELT,0,74.85,,,,,,
38,HRND,0,24.07,,,,,,
39,AETS,0,42.97,,,,,,
40,ULXY,0,45.25,,,,,,
41,BLBT,0,52.23,,,,,,
42,BENI,0,32.37,,,,,,
43,ITPA,0,18.82,,,,,,
44,HTRK,0,10.86,,,,,,
45,NGTE,0,52.65,,,,,,
46,ILVX,0,32.58,,,,,,
47,FCSG,0,27.46,,,,,,
48,FARS,0,66.43,,,,,,
49,MHRM,0,22.41,,,,,,
50,EAFC,0,45.08,,,,,,
51,ALGO,1,98.49,-0.015100000000000002,-0.015100000000000002,,,,
