,ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
ALGO,1.0,0.5559249920283662,-0.1850840961518465,0.8097626357061006,0.6517037711489811,-0.14185894929258858,-0.0660333136059367,-0.010591200731184735,0.6711364591070894,0.6931927048368048,0.26240352524820487,0.30658124502721484,0.3158854370764356,0.8863783348156986,-0.5106939299863646,0.7526971144404043,-0.0442909504813567,0.5413877297332099,0.3416169608399101,0.6119755478433694,0.5838022135532629,0.1837819257236005,0.599901179658489,0.6039515722895024,-0.40221225079596185,0.33850653368405137,0.25404602099302775,0.6798791746066577,0.6567240521297975,0.30023845240761216,0.15748879029887708,0.4886791114729432,0.38088425153519184,0.23294177189433227,0.5682538860538365,0.4838663634915913,0.5888965439074723,0.36825336171075174,0.6246459656650326,0.576100693226901,0.1189748542115803,0.5356144071884898,0.09856255906696296,0.42341256831012036,0.7333271687657001,0.8898059956707564,0.19746941535239304,-0.09000072532534584,0.09367692317479295,0.6055474629236193,0.6118556915882742
AENO,0.5559249920283662,1.0,-0.08699662236137343,0.8023341713314776,0.11440558801261476,0.556691068800251,-0.7262025251538738,-0.14806647051765182,0.8368189399526254,0.9405730173271923,-0.5633418370400382,0.7933311142707133,0.6455581148684116,0.48554363287652436,-0.9072672655813099,0.16072472255732673,-0.7398251948632488,0.5116886393940804,0.4364240295635434,0.6196283444166536,0.9847469521608598,-0.4201585111377156,0.2557810738935836,0.8422452613596435,-0.826637270713022,-0.4327699836240069,0.4664192904932129,0.8165055034268914,0.8092251079673617,0.8377452547841668,0.47239585492379965,-0.19506691465505535,0.6342603991174858,0.27047612475454796,0.8817695664114378,0.4150493972840929,0.8835458535382316,-0.32470472970688613,0.8711442008421235,0.3581937687437261,-0.21548813502612035,0.8705928119111584,0.41737682597327586,-0.2772872339864511,0.30462954903454503,0.429868311002846,-0.6047930533582193,-0.6556512571126503,0.7025477174300143,0.9051317409906883,0.9213025038421131
LSST,-0.1850840961518465,-0.08699662236137343,1.0,-0.04915354968370027,-0.6515188924096466,0.24177182846649042,-0.2613755535498922,-0.008306260350062178,0.09817599243905366,-0.2115447632318439,-0.12794311215126336,0.308111209058357,0.34570657340319105,-0.44613439572098484,0.09978557643100408,-0.18735036084080592,-0.17420018992643718,0.15166172159530583,0.41001963624232324,0.3509253927421657,-0.13837135754023747,-0.1552936673262338,-0.672073321177266,0.059487033060825055,0.051338945855725474,-0.203436356499934,0.34292571551220863,0.06400444289327355,0.12699214177584758,0.11029185324496765,0.3398529532563483,-0.5292272617341657,0.3279162956240001,0.5049173362209819,0.1448833756090363,0.14434166063357048,0.054371679935724795,-0.3330221304385861,-0.4032070253407838,-0.11970325234921796,0.149820948330976,0.16519091800344043,0.6155434960004925,-0.5195008816011399,-0.40042056106265006,-0.461745228633421,-0.12038839894122909,-0.042730851887334526,0.4613624196762503,-0.010468252995810523,0.07894950041439448
SRNA,0.8097626357061006,0.8023341713314776,-0.04915354968370027,1.0,0.4128138228430585,0.17571549183718566,-0.41579016099227273,-0.25811408931711904,0.834307489577131,0.8486989563606484,-0.13684810189247007,0.5699145032287466,0.4859612816322355,0.748387518911891,-0.7947337164045761,0.6090892114193461,-0.3559314942775578,0.6237090579441542,0.3877148805773241,0.6247854125846015,0.820346572929007,-0.12941821124262318,0.4192365653674184,0.7316537800474345,-0.7002029035171251,-0.061198943784616336,0.3361141053846145,0.8318061825002291,0.6984864779780041,0.5401199669632768,0.3631900559116626,0.08245936745593593,0.5178810596481391,0.2829252415321657,0.8298824329809805,0.37827088927981756,0.7931423554583249,0.042190551775736274,0.7352841432589322,0.5696464989493092,-0.13450643809255908,0.7693087511318275,0.33734799092532414,0.027618376042494345,0.5642373184068555,0.7124285151732221,-0.18176278317840108,-0.49151276439978053,0.4300518945236365,0.7623806956228378,0.7875285475517536
ELLT,0.6517037711489811,0.11440558801261476,-0.6515188924096466,0.4128138228430585,1.0,-0.5576114726179509,0.4669545932530248,-0.21525168945638984,0.07047288316454577,0.33314649828210746,0.5543718820560012,-0.3655646854201127,-0.3974495467829866,0.7631777150304406,-0.14147467041556397,0.7143233615077246,0.3998160178322253,0.16936433545037527,-0.3203482320720994,-0.06776287614815465,0.1829842696776793,0.5245142078641767,0.8430826710758399,-0.007184165048896586,-0.02271813325601476,0.5336482529446926,-0.36763080347765065,0.09386384289303919,0.021270995113550597,-0.26991356428966184,-0.40094685465224716,0.7444327535810702,-0.24895151412198643,-0.38559472726329663,0.10562311190937101,-0.06421834515361324,0.06027367393066945,0.6037275364585988,0.4142909846293393,0.487046846300778,-0.14488580403424275,-0.0604622713908572,-0.5858625556517281,0.7733185197258052,0.7831886206084246,0.7549639121666203,0.5308111483067428,0.30106955430162663,-0.5626905408967671,0.07102901551300554,0.04970319543334517
AMRP,-0.14185894929258858,0.556691068800251,0.24177182846649042,0.17571549183718566,-0.5576114726179509,1.0,-0.7484964787311442,0.035026898271590896,0.46905906111440826,0.37091013337197737,-0.8485420069509495,0.722152462280614,0.6425727487698527,-0.1706569833130547,-0.5064726571417428,-0.3795016115431493,-0.6805114907981531,0.2653220643892175,0.43733424592087594,0.35077710276477225,0.4974324299374758,-0.8416387861401556,-0.4585150946518219,0.5844549128622589,-0.6019593481810063,-0.646347387663459,0.5457696418933825,0.40425627781154483,0.4408188828213762,0.7668759082533914,0.4909341855676404,-0.622060393825153,0.42906421781941745,0.4879891609400989,0.4352841872319533,0.36526534327211807,0.584575886494648,-0.5299318392239821,0.36928220564763,0.017697513155322482,-0.17595508602363888,0.613379177693693,0.6588955276762019,-0.7245807634216903,-0.39293834288935525,-0.21233634166635207,-0.8389298557329515,-0.6905780223782055,0.8030334630308,0.5340210516074527,0.5636113483861455
OTCS,-0.0660333136059367,-0.7262025251538738,-0.2613755535498922,-0.41579016099227273,0.4669545932530248,-0.7484964787311442,1.0,-0.10176303312516113,-0.6937410840296632,-0.5524477268690179,0.7371246208737278,-0.8602607912538898,-0.7997187405601424,0.03970822820020672,0.6573783576921964,0.32691092125402865,0.8026949179162076,-0.18556172448551547,-0.5757758616590155,-0.548741920358155,-0.6730616739645673,0.6901425378361082,0.20627629816975387,-0.6456525319500397,0.6973416929097629,0.70017731291595,-0.6486900714621886,-0.694307178213135,-0.6660690373601914,-0.8195354270473458,-0.6534389430750474,0.6068285119177051,-0.7211096854031386,-0.40613865239005836,-0.6252066397556637,-0.43163784662508337,-0.6695307591527584,0.6377510210481617,-0.4806131860398759,0.06882568589442997,0.031124951416706667,-0.7436629020062031,-0.6644170555990935,0.6386829746323153,0.231003609808514,0.09893023109592879,0.7606953481813722,0.6993501274482561,-0.9000866036101344,-0.7192216896823379,-0.7164012151325875
HETT,-0.010591200731184735,-0.14806647051765182,-0.008306260350062178,-0.25811408931711904,-0.21525168945638984,0.035026898271590896,-0.10176303312516113,1.0,0.023845013056946748,-0.21021119399109048,0.169339951953985,0.12266807211492897,0.25674663462518554,-0.09125017836396339,0.32041855654245044,-0.3487285031480296,0.0009050725921525857,-0.3921536160602752,0.12759468063631813,0.02250182717706816,-0.19905905398751195,-0.21631580770779693,0.034722412424592966,-0.01777285933915008,0.09283579096210504,-0.05780643675929747,0.25361268997068226,0.040433730872260785,0.21039601694172486,0.1126261315706526,0.10192727436255802,0.13701435448939223,0.1038882867459834,0.2869963484267013,-0.30220629774192803,0.21722458191608437,-0.08793738485216554,-0.1456716181404331,-0.10514068163774755,-0.41569309549227207,0.7873546084850966,-0.17136942141398356,0.13075336507887,0.1331543882023328,-0.10587702507062265,-0.03818237334938704,0.1708329020424657,0.08167129367291388,0.02097503608591298,-0.022543441881419986,-0.12108732505307118
HUXZ,0.6711364591070894,0.8368189399526254,0.09817599243905366,0.834307489577131,0.07047288316454577,0.46905906111440826,-0.6937410840296632,0.023845013056946748,1.0,0.7834853707769013,-0.3688893890191868,0.8263455407102389,0.7596860924682317,0.5522134191277506,-0.7907089442446978,0.3547327319284445,-0.5492730313229633,0.5127663246101544,0.6796862534576431,0.7272220692647684,0.8118360532489104,-0.4247623824105677,0.17789970660461557,0.8732878064909602,-0.7683219858787859,-0.21368961103728967,0.5977040578679966,0.9604783498130319,0.854365088002943,0.7632702830452327,0.5798656740245625,-0.1798381843193243,0.6955948232359472,0.45143765806619257,0.8110425008740747,0.6117176212920976,0.8392186632944484,-0.14318989039170757,0.6866999354679896,0.33458807814529884,0.022770472642036146,0.8424359657730247,0.581288692365972,-0.25967847753269047,0.3028440410109009,0.5156415560015438,-0.4258410412125997,-0.6288245058587876,0.6740060712665269,0.8367598705699145,0.8536469123193607
DUCT,0.6931927048368048,0.9405730173271923,-0.2115447632318439,0.8486989563606484,0.33314649828210746,0.37091013337197737,-0.5524477268690179,-0.21021119399109048,0.7834853707769013,1.0,-0.3833637458810898,0.6142158793544829,0.49423458229344713,0.612353688927948,-0.8824960792024109,0.342863538166663,-0.6084863108487627,0.49932155770094255,0.3096407919929816,0.5666616302177877,0.954778123331597,-0.2067160475950252,0.4515043997244814,0.7766620173680904,-0.7089554980080617,-0.24220407738193558,0.3208537281073709,0.7626197877892346,0.727903023899832,0.701651366171234,0.4309561895842841,0.001700257858670435,0.5331890036454312,0.19619495935009068,0.8395460589038773,0.39752552553530507,0.8300061171485151,-0.12472500186426687,0.9160063712010706,0.41449924504175695,-0.2266590469120189,0.7978621568937263,0.28011394326859645,-0.05849288182631079,0.516595828223473,0.5775032352719827,-0.4371986130042396,-0.5172208999295604,0.5288378467407145,0.8533426495040967,0.8820715681924777
