,ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
ALGO,42.00367603046091,83.84505143727453,-14.467356646092188,119.42325205611222,66.35989752785572,-3.2358716184368705,-2.4920680240481032,-0.42548029018036193,58.739183955110235,18.190482353507015,21.12751300360722,6.145507894188379,10.496001867735473,47.52680517675352,-68.80639018196392,35.75082444248496,-2.7591715623246507,4.046567629659319,11.313709159118233,61.67242162885773,95.82499427014031,49.53031607374747,144.8542329603206,81.38565961362724,-25.354086730260512,37.39971415791583,3.65748804008016,50.541090448096185,174.68456842324645,4.664824880160322,7.607166472144288,6.649680070541077,7.621534300601199,2.103621547094189,63.877385199198386,11.706049088577153,13.69140769058116,36.37678917515029,30.48989544689379,22.55648275591183,3.993729396392785,17.544245152705408,1.124450215631262,6.459101444488978,4.881890688577156,77.55621518396791,11.12927044809618,-2.8485200881763535,5.3281365643286565,12.453839435671341,26.85572770821643
AENO,83.84505143727453,541.54577733507,-24.417231096994016,424.87422543286584,41.828919573947864,45.595578964729434,-98.40756669138271,-21.358212769138294,262.9798748849698,88.62508900881761,-162.8638342068136,57.10059342124248,77.02001099599197,93.48064262765529,-438.9117995947897,27.410845508617218,-165.48809588897794,13.732768727855717,51.89770787855714,224.2136996388777,580.3789424104208,-406.58879300040064,221.76541527094182,407.5287801507014,-187.10336424729462,-171.68497721082161,24.11131841082164,217.9445043739479,772.8850467559117,46.73636649939879,81.93194941603207,-9.530913480561114,45.57124835871744,8.770474863727454,355.9047284777554,36.05442988617234,73.75850866052102,-115.17021948016028,152.68134688977952,50.357591008416854,-25.972918515430862,102.39327898637274,17.097418019238486,-15.188405124649304,7.281757971142285,134.53356385531066,-122.39046557595192,-74.51095197194383,143.48037189298594,66.84067161202404,145.1991616781563
LSST,-14.467356646092188,-24.417231096994016,145.46311062885763,-13.49021376152305,-123.45687265290574,10.26296916673347,-18.356697549098193,-0.6209727923847814,15.990246610821641,-10.330594047695385,-19.170277874949917,11.49350477675351,21.376407376753555,-44.516189407615215,25.01892432585166,-16.559725341883745,-20.19505844048092,2.109537069338683,25.269871098597203,65.8119125198396,-42.266087862925836,-77.88518086893785,-301.99580887254507,14.917665526252566,6.022438993587149,-41.827564882965916,9.187627016032064,8.854331470541075,62.86099512144286,3.188931947094184,30.54900759879761,-13.401455487775538,12.210829765531074,8.485419220440876,30.307914739879752,6.498444151503005,2.3524187591182333,-61.218618232064145,-36.625441735470964,-8.721912361523035,9.358985632064133,10.069348886973934,13.068320983567135,-14.747806620440885,-4.960659641683365,-74.89563042204406,-12.626537697795596,-2.5167936713426857,48.83348637234468,-0.40064715991984035,6.448669090581154
SRNA,119.42325205611222,424.87422543286584,-13.49021376152305,517.8154682464931,147.58885494388775,14.073057308617237,-55.09534027054108,-36.40741286372744,256.38173278156313,78.1965800741483,-38.68667011222444,40.11121027254509,56.69435558116234,140.89315189579156,-375.9530183346693,101.57587616032065,-77.85275443486972,16.368327486973953,45.08394536472944,221.07094761322645,472.774770488978,-122.4637500521042,355.4303333486974,346.1746421162325,-154.974571496994,-23.740453669338635,16.990302675350705,217.10952291182366,652.3392074068136,29.464774661322636,61.59579742084166,3.9396789699398815,36.38507546092185,8.970895360721448,327.5406050741481,32.13155091382765,64.74468161923848,14.633112378757504,126.01465529058115,78.31091083366735,-15.852960793587194,88.4763034288577,13.512952460921843,1.4792799078156365,13.188516348697396,218.02506909619237,-35.967949482965906,-54.62003040080161,85.88304908416833,55.051711326653304,121.36629271943886
ELLT,66.35989752785572,41.828919573947864,-123.45687265290574,147.58885494388775,246.84460802364725,-30.834322974348723,42.720824503006,-20.962785424048096,14.952275433266552,21.19305947855711,108.20518689298603,-17.76415708136272,-32.01433413026053,99.20038139158318,-46.207762702605166,82.24866101322648,60.37985513386773,3.0687996040080145,-25.719119094589203,-16.554533060921912,72.81066441603208,342.6839235543086,493.50301478436876,-2.3468765482965512,-3.4716304765531087,142.9303613759519,-12.830706875751494,16.915287066533065,13.716003876553255,-10.166276436072131,-46.94920649659321,24.55673484649299,-12.076256719438895,-8.44149747695391,28.78272093146298,-3.7662764160320705,3.3970734252505017,144.57286923406824,49.02252209619238,46.22872238156312,-11.790099259318637,-4.801037163527056,-16.202878498597187,28.597952712625258,12.639352226853713,159.52018483086164,72.52288358957914,23.09980369138278,-77.58549168296594,3.541270005611221,5.288596139879757
AMRP,-3.2358716184368705,45.595578964729434,10.26296916673347,14.073057308617237,-30.834322974348723,12.387446388376748,-15.34029838276553,0.7641580148296578,22.294197814028063,5.28574459278557,-37.1021693314629,7.861190806412831,11.594815488977957,-4.969249438076156,-37.05709116753507,-9.788737415631262,-23.02217822885771,1.0769585939879762,7.865499646893782,19.197090514228456,44.339868832865726,-123.18030830140285,-60.12462161643284,42.77047061803604,-20.606635270140266,-38.780595088977954,4.267044146292586,16.319877182765524,63.67648066212424,6.470552573947894,12.87786273787575,-4.596812295791582,4.662500955911823,2.393192623246492,26.572037107815635,4.7988880649298595,7.380694643687369,-28.42790793627254,9.788758649298597,0.37629848577154495,-3.207543259318639,10.910853129058111,4.0821791927855715,-6.0026414677354705,-1.4205676769539068,-10.05062001082164,-25.676732105811624,-11.869523202404807,24.804108172745483,5.964316682965931,13.434295402404807
OTCS,-2.4920680240481032,-98.40756669138271,-18.356697549098193,-55.09534027054108,42.720824503006,-15.34029838276553,33.908322354709426,-3.6731087955911796,-54.55367254909816,-13.02539565731463,53.32478724248497,-15.493581751503008,-23.874872975951885,1.9129759038076162,79.57799294789578,13.950980809619239,44.92868626653306,-1.2461671422845684,-17.132807721442877,-49.686061464929864,-99.2607214549098,167.11544878557115,44.75177910020041,-78.17252345490982,39.495517661322616,69.50543464729455,-8.391068567134269,-46.37394324048095,-159.18434914629265,-11.44053319438877,-28.358795985971945,7.419121014028058,-12.964632855711425,-3.2953690681362717,-63.144830076152296,-9.382399627254513,-13.985858581162313,56.60285107615231,-21.077892204408816,2.421213198396789,0.9387320320641273,-21.886083685370743,-6.810492749498997,8.75393265330662,1.3817152264529053,7.7474682344689505,38.52007444488978,19.887373807615237,-45.99774372144288,-13.290072521042083,-28.252295236472946
HETT,-0.42548029018036193,-21.358212769138294,-0.6209727923847814,-36.40741286372744,-20.962785424048096,0.7641580148296578,-3.6731087955911796,38.42210858957912,1.9960048328657263,-5.275857031262528,13.040225216032047,2.3517474653306647,8.159170374749504,-4.679507616833678,41.28884032104207,-15.841642323046093,0.053925485771536844,-2.803377388376756,4.041523441683369,2.16881078517034,-31.249419048496975,-55.75752740521044,8.0187802769539,-2.2906040416833626,5.596996903006009,-6.10835648537076,3.4921142625250514,2.8747735002004053,53.5249265715431,1.6736134092184383,4.708804193587175,1.7831586797595187,1.9882130681362722,2.47881179759519,-32.49040864448897,5.026212266933868,-1.955372894589176,-13.762569808817641,-4.908397559118244,-15.566563284168328,25.277887400400804,-5.368620616833667,1.4266849611222447,1.9427225947895796,-0.6741227022044086,-3.1829597478957936,9.20842429178356,2.4722344809619257,1.1410177326653317,-0.44342711342685304,-5.08315734789579
HUXZ,58.739183955110235,262.9798748849698,15.990246610821641,256.38173278156313,14.952275433266552,22.294197814028063,-54.55367254909816,1.9960048328657263,182.3672514805611,42.840141814028044,-61.88774402725457,34.514664917034075,52.59666975150301,61.69588826773546,-221.98033662605206,35.10725309498997,-71.29872398156313,7.985969854909822,46.90334844328658,152.7051761771543,277.6586291511021,-238.53061385490983,89.50689320160323,245.20704520561117,-100.91732131703404,-49.194257738677365,17.930256324649303,148.77509130020044,473.5271543599197,24.71025130581162,58.362038169939865,-5.099042842484972,29.00250496593187,8.494695122244487,189.96697409859718,30.836542367935884,40.65500388937877,-29.47268998557108,69.84233952705411,27.29689326973949,1.592668076953892,57.49751999919839,13.818150302204408,-8.254182993186364,4.200868474549099,93.64809896673344,-50.00853673587172,-41.469854492985974,79.87967966893788,35.85796951342685,78.07211968176351
DUCT,18.190482353507015,88.62508900881761,-10.330594047695385,78.1965800741483,21.19305947855711,5.28574459278557,-13.02539565731463,-5.275857031262528,42.840141814028044,16.39431077314629,-19.283802902605213,7.691944978757515,10.25959829458918,20.512791187174344,-74.28203519158316,10.173960436072141,-23.68194940320642,2.33164078236473,6.406586388376754,35.67661734388777,97.90806235591178,-34.805303555911784,68.11086457995991,65.38539769619236,-27.91994662084168,-16.718049581963925,2.8858950881763525,35.417986713827645,120.96175355190387,6.8107249026052115,13.004969182765539,0.014454221242484286,6.665511897795592,1.1069066913827654,58.95928044248496,6.0083173074148295,12.055724695791582,-7.697223439278558,27.933375643286578,10.139105884569139,-4.753346169138277,16.327257241282563,1.9964843951903806,-0.5574607703406812,2.148543256913828,31.446957400000006,-15.39389652264529,-10.227094625250501,18.791791691783565,10.96431380521042,24.18770571102204
