,ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
ALGO,9.855794145174691e-05,8.863165521614122e-05,9.086303642593027e-05,8.007604177781707e-05,7.634464768873453e-05,0.00011087120091243913,9.461086734170332e-05,6.788524093228669e-05,9.90264368686467e-05,0.00010849321828398254,9.600968017698067e-05,7.862781063176712e-05,0.000105628033255623,9.259270244170751e-05,8.386457781747903e-05,8.197440182231113e-05,8.036493071862846e-05,8.909502786931494e-05,0.00011855889697605886,0.00011777774312809463,8.026101284222924e-05,0.0001667551347813853,8.96040119339004e-05,8.404904396101274e-05,0.00011418715841097144,0.00012886991520850419,6.963843039518352e-05,9.155020348406799e-05,9.713719921844517e-05,0.00011421765993038536,0.000156999474423206,8.09513415967238e-05,7.266231833282634e-05,9.134752895859756e-05,8.940286496566543e-05,0.00014125092668643981,7.591426493799199e-05,0.00015575368128803677,9.407746585896816e-05,0.0001324959180444075,0.00012183587847252273,6.37484468216104e-05,5.88396527534617e-05,7.427047289127053e-05,8.574922507542865e-05,0.0001076077802403441,8.11339435897158e-05,0.00010269635689749979,4.947747776320902e-05,9.524477564518325e-05,0.00010556118336012953
AENO,8.863165521614122e-05,0.0003483913385257387,9.488321653727779e-05,9.89554199102838e-05,6.807219167708949e-05,0.00013565722677910552,6.435324000588943e-05,6.518517773883219e-05,0.00011671747335770414,0.00011377095304378896,9.763747429107077e-05,9.553263156796239e-05,5.676555574038634e-05,0.00011701430020559164,0.00011220142456145182,9.947785825015719e-05,9.630585156885679e-05,6.243432668944375e-05,7.105649420903689e-05,6.420267616818104e-05,9.993696322697e-05,9.976926266929636e-05,8.203063222737486e-05,8.827546424003883e-05,6.158638573163477e-05,7.113966083417755e-05,4.459432233965899e-05,0.00012482804890977475,0.00014278654786242654,9.533978398327357e-05,8.709807652078993e-05,5.881589359124271e-05,5.712988105755843e-05,9.965811340965336e-05,0.00011259708722221726,4.3610758998027586e-05,7.753198454680766e-05,4.4576930375793654e-05,5.541776782207799e-05,0.00012015088003498413,0.00014353879981472134,5.682889257709103e-05,6.336024614577374e-05,5.837852012123937e-05,9.840296372536684e-05,0.00010132649030785721,8.89752869109278e-05,8.409119212249725e-05,3.964475275190454e-05,6.191989019243606e-05,8.01241763893244e-05
LSST,9.086303642593027e-05,9.488321653727779e-05,0.0004469648392040711,0.00010836556830554387,5.609083615850252e-05,0.0001203677304142896,0.00011476559250802051,9.306923385269334e-05,0.00012075639097722674,0.00013937077425786847,0.00010332877685289066,0.000122425388111326,7.720704303141245e-05,0.0001064632248341162,9.277231960513466e-05,8.637959240576058e-05,8.013367274231036e-05,9.191679310249444e-05,8.587894584551638e-05,6.941314287234108e-05,6.706804386236727e-05,8.76224686963361e-05,5.8274993511383336e-05,5.686874344222115e-05,5.4860588875795525e-05,7.246065552325995e-05,2.244531721994664e-05,0.00013633954685118282,0.00011727782262340823,9.964927693793219e-05,0.00012341759238028842,5.159760357909151e-05,4.436762647224942e-05,9.482358259545331e-05,0.00013112669840539712,4.493316715588198e-05,5.9572041586744165e-05,5.687333070311104e-05,8.316286160812353e-05,9.020077425475755e-05,0.00011907905111996834,4.389380590314716e-05,8.091020436324987e-05,5.891076069678114e-05,9.621537056640928e-05,0.00010269129827885712,0.00010974616289167929,7.184425194687886e-05,3.92053460406184e-05,8.65567221963344e-05,6.904365555724386e-05
SRNA,8.007604177781707e-05,9.89554199102838e-05,0.00010836556830554387,0.0002479232585692291,5.016644214681114e-05,9.526427127843639e-05,0.00010786069521329297,6.725259151830813e-05,0.00010397636531825081,0.00011233122599408006,8.763053549772193e-05,7.562246283015032e-05,9.01825095914196e-05,7.9580807996744e-05,8.668302558109566e-05,0.00012343003470104063,8.221929643494383e-05,7.404410584173961e-05,5.077637503463776e-05,7.411000045751463e-05,6.978831305629908e-05,4.7206894260919616e-05,4.7523211432644164e-05,6.797182377045786e-05,5.130421418789234e-05,6.477350066055374e-05,3.1480967472710496e-05,9.135883196620959e-05,8.655174748563734e-05,8.441367966540415e-05,9.344812146534061e-05,6.579166972305446e-05,7.121993757420341e-05,0.00011599699101704075,9.512228866342304e-05,6.765365407770564e-05,6.685871920807642e-05,7.114957270113203e-05,4.9126353333376274e-05,8.621277127562236e-05,0.0001295921369744266,4.742531461826125e-05,7.763263739137983e-05,5.6019550630859756e-05,8.149868097185716e-05,9.90600696410193e-05,8.481411784812722e-05,5.40176297502087e-05,5.182533476918382e-05,5.3128568076857477e-05,6.937645594191387e-05
ELLT,7.634464768873453e-05,6.807219167708949e-05,5.609083615850252e-05,5.016644214681114e-05,0.000299578742060871,0.00012202315193573253,8.023708198916513e-05,4.25689454809149e-05,5.87739150986026e-05,7.854815553587627e-05,4.9434490824285364e-05,3.8020322589180945e-05,8.801783999554667e-05,6.53881920879317e-05,5.5213232722876175e-05,3.0190202764389518e-05,3.728635961066992e-05,6.543412590050356e-05,5.8607870779955774e-05,7.526031198707304e-05,5.9421183975424385e-05,5.980573721575352e-05,6.0217843661499585e-05,8.567328149382499e-05,8.376599137303554e-05,0.00011559125938248283,7.808408268149742e-05,7.951821294547258e-05,5.8794048311625316e-05,0.00011469372427358687,0.00011743722690614462,7.81047679004514e-05,8.295919654878959e-05,5.825776403462102e-05,5.194830854631605e-05,9.836645540883416e-05,7.012328667196215e-05,8.725256055197175e-05,7.952962660178641e-05,0.00012502446259693046,3.2289662508887264e-05,6.437410799012135e-05,3.7230006425576076e-05,7.903948141848568e-05,6.630894348039375e-05,6.672582556899444e-05,5.5896585797083755e-05,0.00010334701599191885,4.3069976559102454e-05,7.441115153629407e-05,9.507359374240205e-05
AMRP,0.00011087120091243913,0.00013565722677910552,0.0001203677304142896,9.526427127843639e-05,0.00012202315193573253,0.0007650467667625341,0.0001387289307124765,6.685735613203228e-05,0.00013013967164147937,0.00012560021112193535,0.00011535692552749377,0.00010774155009698458,6.664425215268282e-05,0.00013429302695013807,0.00011298169248726097,7.927823004680273e-05,0.00012663736662671654,9.692476098830739e-05,0.00012451633279754378,0.0001065066862006487,9.487615096151063e-05,2.1982560146350467e-05,9.30959014443699e-05,9.47761955422029e-05,5.800945757468958e-05,0.0001332681761664284,6.907146118144586e-05,0.00013578316250556824,0.0001209175491890674,0.00012908882017425633,0.00011184398204416744,8.305752958262535e-05,6.179180388436479e-05,0.00015278723863275823,0.00011389790266933347,8.414044984994347e-05,6.449932488618457e-05,5.9295908192360137e-05,0.00011025208161070162,0.0001714425091811816,0.0001059295949832056,7.086337325377191e-05,8.186444847234645e-05,8.78978818379021e-05,0.00010504175581032624,0.00015712376207282588,9.826558633711767e-05,0.00012590799750513302,3.3278903219734054e-05,5.430450308637617e-05,0.00015307211609249117
OTCS,9.461086734170332e-05,6.435324000588943e-05,0.00011476559250802051,0.00010786069521329297,8.023708198916513e-05,0.0001387289307124765,0.0007142199243387844,7.838772549422717e-05,9.676675212944874e-05,0.0001683798486096366,8.530920034114797e-05,9.711172094566799e-05,7.772797700123715e-05,0.00010173833774740117,8.910672880357853e-05,9.145634199985349e-05,6.473812869696152e-05,5.6589252152092984e-05,-2.736204699174281e-07,7.514612705297291e-05,7.646784118233026e-05,1.997964279534044e-05,4.846282963149481e-05,6.857379445093454e-05,5.402519363163621e-05,0.00012977113989745477,7.114258609429569e-05,6.812903810799248e-05,9.536853688238454e-05,9.930388538722536e-05,6.474710199363775e-05,3.803206603270473e-05,7.532509058032674e-05,0.00013049407065117964,9.888858875292562e-05,6.771375384199965e-05,3.5739654833714804e-05,7.198052278661551e-05,3.5395005085754276e-05,8.206675796615911e-05,0.00011000484329472452,3.5593889499309715e-05,7.095759339853572e-05,4.961271567951524e-05,0.00010227800849158967,0.00011011445981645407,8.60772390198561e-05,5.396348209453667e-05,3.3014368822888078e-06,6.791635551353505e-05,4.448205050683338e-05
HETT,6.788524093228669e-05,6.518517773883219e-05,9.306923385269334e-05,6.725259151830813e-05,4.25689454809149e-05,6.685735613203228e-05,7.838772549422717e-05,0.0002192263321933609,6.66541101965771e-05,6.537886754045532e-05,6.61506363657834e-05,6.970877169511307e-05,7.087713554850708e-05,7.348471028100326e-05,7.687096873122004e-05,6.71317672119247e-05,5.996429707816503e-05,6.30983552745585e-05,4.850553774085688e-05,5.853117528494729e-05,5.2247223330689414e-05,8.530197325824048e-05,5.790973283789293e-05,5.147902832346726e-05,5.377852040315943e-05,7.721137789795032e-05,3.932817692738666e-05,9.292131019686932e-05,8.543301818566099e-05,9.122738430664351e-05,8.189277968193134e-05,4.7050878300739204e-05,5.161466561890538e-05,7.675792725677143e-05,7.145010817050402e-05,7.856876148440165e-05,4.5960191875976046e-05,6.601396258879878e-05,4.877333597718378e-05,6.536648696809165e-05,6.733606672940226e-05,3.263602181261985e-05,6.0619699649831706e-05,3.488559222328153e-05,6.641250428789638e-05,9.444016428579982e-05,7.45337293359347e-05,5.114388508135321e-05,3.440050710278797e-05,3.201352766487098e-05,4.2021304464867715e-05
HUXZ,9.90264368686467e-05,0.00011671747335770414,0.00012075639097722674,0.00010397636531825081,5.87739150986026e-05,0.00013013967164147937,9.676675212944874e-05,6.66541101965771e-05,0.000456499457759871,0.00011069023513075777,0.00011750601531999032,7.968038429877673e-05,9.409378637228518e-05,8.9244400733617e-05,0.0001130839874391592,0.00011041099999396676,8.169074302303471e-05,6.931932634307976e-05,6.108372701382166e-05,9.174294735782559e-05,9.860524612100682e-05,0.0001398330047045321,7.564100389712241e-05,6.526565314312997e-05,6.227094753969108e-05,0.00013117797059176541,6.658443533940042e-05,0.00010574530894731304,0.00012252028369136154,0.0001336370369976008,0.0001205964026063425,5.8920108948555925e-05,6.824431121576299e-05,0.0001116866617064905,0.00011284154303561886,5.4561133831469285e-05,7.102409359128131e-05,0.00010751015065597216,4.983513418299565e-05,6.75099135574542e-05,0.00013177825571443063,6.012405170679058e-05,7.043915156182544e-05,7.681711774214114e-05,0.00011649661830027394,9.309011101393796e-05,0.00010744519405801801,9.736930476749184e-05,4.9744979086359456e-05,7.921361775494343e-05,0.00010148143210625875
DUCT,0.00010849321828398254,0.00011377095304378896,0.00013937077425786847,0.00011233122599408006,7.854815553587627e-05,0.00012560021112193535,0.0001683798486096366,6.537886754045532e-05,0.00011069023513075777,0.0004381087338356176,0.0001492852482729068,0.00010098000235142168,0.00011837801698607151,0.00012664331410581245,9.692286348508358e-05,0.00012133268131216867,9.896190512024548e-05,8.399459101344255e-05,5.620398537294666e-05,0.00011043547200559095,0.00010571250252041815,0.00010211138206727066,5.03735785939612e-05,8.214826224153104e-05,6.38251756006953e-05,8.974779270558274e-05,7.331503098488015e-05,0.00010136651675569689,0.00010834377114635252,0.0001169710918580582,0.0001323507131230617,8.528918033112803e-05,9.044223829671137e-05,0.00012335417800789786,0.00012774910277775007,0.0001095783922833527,9.879558023409812e-05,8.075695303995748e-05,4.657623422925298e-05,0.0001576320555160115,0.0001542322577964076,6.874753919151031e-05,9.051398350397929e-05,8.064163389831344e-05,9.928482945336452e-05,0.00016408413556577513,0.0001134659627190128,9.770892658599392e-05,4.967415664906723e-05,0.00010863296137998071,0.0001177788851325868
